# spike raster log
# sample state timestep dm L0 L1 L2 L3 prediction match
sample=14 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=7424 match=0
sample=14 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=3840 match=0
sample=14 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=2304 match=0
sample=14 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=1664 match=0
sample=14 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=896 match=0
sample=15 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=256 match=0
sample=15 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=15 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=16 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=17 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=18 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=1 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=2 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=3 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=4 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=5 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=6 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=7 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=8 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_UPDATE timestep=9 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=19 state=S_DONE timestep=10 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
sample=20 state=S_UPDATE timestep=0 dm=00 L0=00000000 L1=00000000 L2=00000000 L3=00000000 pred=0 match=0
